iso3,year,gdp_growth,private_credit,inflation,trade_openness,unemployment,credit_gap,LPI
GHA,2000,3.70000008164408,13.971491324036,40.240933123914,116.048430162968,10.456,0.8137134490128534,18.964187822878394
GHA,2001,4.00000012807919,11.8843912608955,41.509496287803,110.045854160811,9.615,0.8415414498547267,17.7064210403532
GHA,2002,4.49999955900331,12.1495373048323,9.36093239560313,97.4892431746551,8.711,0.8380061692689027,16.01087174050141
GHA,2003,5.200000133101,12.493048761649,29.7729797160384,97.2871457139532,7.728,0.8334260165113467,14.168716255599687
GHA,2004,5.59999999077445,13.1724893671741,18.0427388232565,99.6703343472122,6.758,0.8243668084376787,12.329070891421832
GHA,2005,5.90000381855104,15.5440688136274,15.4389920155908,98.1715141146279,5.816,0.7927457491516346,10.426609277065905
GHA,2006,6.39991260618034,10.8575870160572,11.6791839392492,64.5190542439152,4.897,0.8552321731192374,9.085071951764906
GHA,2007,4.34681910440079,14.4884302260337,10.7342665456292,65.3543222852532,5.104,0.8068209303195507,9.222014028350987
GHA,2008,9.14979893831817,12.6134904703492,16.494639613412,69.5142256111434,5.144,0.8318201270620107,9.422882733606983
GHA,2009,4.84448705175076,17.7369732584538,19.2469482220857,71.5947385281523,5.362,0.763507023220616,9.455924658508943
GHA,2010,7.89971194051621,16.6607748086712,10.7333898354915,75.3778157916824,5.384,0.777856335884384,9.571978512401524
GHA,2011,14.0471235803149,17.1952826473503,8.7284593709302,86.2954538549695,4.213,0.770729564701996,7.46008365608951
GHA,2012,9.2927894063005,18.0717128637123,11.1863409441067,93.1680351286831,3.126,0.759043828483836,5.498771007840471
GHA,2013,7.31252501678145,15.2923716479322,11.6661923071729,60.7593219028775,2.173,0.796101711360904,3.902929018787245
GHA,2014,2.85624016330883,16.5048906269026,15.4896160333318,63.8365624430783,4.403,0.7799347916412986,7.837052887596637
GHA,2015,2.12075933817334,17.9335670472186,17.1499695007878,76.5212709243242,6.806,0.760885772703752,11.984588569021737
GHA,2016,3.37346574966936,17.4356386560413,17.4546347070868,67.8769994445865,5.256,0.7675248179194494,9.290110442984627
GHA,2017,8.12889488100956,16.0995201444141,12.3719215507048,70.5483652904116,3.369,0.785339731407812,6.01480955511292
GHA,2018,6.20007768127284,13.7141432192203,7.80876516610703,67.9585174644902,3.204,0.8171447570770627,5.822131801674909
GHA,2019,6.5077747939152,13.9372113856401,7.14364003330857,76.824802732152,3.067,0.814170514858132,5.5640609690698914
GHA,2020,0.513941670628171,13.058528858537,9.88728956269944,66.5754987162431,3.178,0.8258862818861733,5.8026666038342585
GHA,2021,5.07646643533542,13.0544311231372,9.9710886750444,62.7078309128346,3.2,0.8259409183581707,5.843010938746147
GHA,2022,3.80484980952164,13.2885237880865,31.2558951049016,70.1154557958907,2.87,0.8228196828255133,5.231492489709224
GHA,2023,3.14009099763754,9.44619497372883,38.1069656296501,64.3878615281647,2.829,0.8740507336836156,5.301689525590949
GHA,2024,5.59045469593266,,22.8483281157842,69.7884227390592,2.82,,
KEN,2000,0.599695390807426,25.7583827680558,9.98002515350979,53.3090443862273,2.884,0.6565548964259227,4.777504321292361
KEN,2001,3.77990649795343,25.2226866951229,5.73859814341467,55.9468360286644,2.876,0.6636975107316947,4.7847940408643534
KEN,2002,0.546859530175595,25.8546018348267,1.96130821739162,55.1726722640053,2.916,0.655271975535644,4.826773080661938
KEN,2003,2.93247554570904,25.1556752227903,9.81569062979654,54.132265895729,2.869,0.6645909970294627,4.775711570477529
KEN,2004,5.10429977629738,27.2875160327278,11.6240355442426,59.4770033484289,2.844,0.6361664528969626,4.653257392038961
KEN,2005,5.90666607980057,26.2768754700489,10.3127783574683,64.4788661639796,2.739,0.649641660399348,4.518368507833814
KEN,2006,6.47249430015484,22.8883109960388,14.4537342081708,55.2364851257303,2.673,0.694822520052816,4.5302605961011775
KEN,2007,6.85072976998784,23.0449642815856,9.75888023027529,53.8947888046059,2.642,0.6927338095788587,4.472202724907344
KEN,2008,0.232282744812977,25.380611749054,26.2398166445063,57.5785986473131,2.751,0.6615918433459467,4.571039161044699
KEN,2009,3.30693981631089,21.8748215770177,9.23412592394652,45.9451918127805,2.816,0.7083357123064307,4.810673365854909
KEN,2010,8.05847360290906,23.9866365463318,3.96138889115385,50.3942873502834,2.793,0.6801781793822427,4.692737655014604
KEN,2011,5.1211061197056,27.3659528452877,14.0224913014704,58.4022059745625,2.699,0.6351206287294973,4.413190576940913
KEN,2012,4.56867961444982,26.4022341140294,9.37777003547598,51.6236920232481,2.678,0.6479702118129413,4.413264227235056
KEN,2013,3.7978483925754,28.3321722043471,5.71749357037733,47.4646425127304,2.762,0.6222377039420387,4.48062053828791
KEN,2014,5.02011100232484,34.5220651778387,6.87815499275949,46.170489362216,2.767,0.5397057976288173,4.260365942038938
KEN,2015,4.96772112759767,36.6993293508397,6.58215429284779,40.3273846919019,2.762,0.5106756086554707,4.17248603110641
KEN,2016,4.21351706814744,35.5710732134397,6.29724953814625,34.8650195731824,2.757,0.5257190238208039,4.206407348673957
KEN,2017,3.83795817364721,33.1505993031106,8.00564967709945,35.9950578754074,3.542,0.5579920092918587,5.518407696911763
KEN,2018,5.64794640709219,31.1986897673002,4.6898064677633,34.4147531767425,4.284,0.5840174697693307,6.785930840491813
KEN,2019,5.11415885767801,30.8320287701597,5.23963795764792,31.759461841481,5.014,0.5889062830645373,7.96677610328559
KEN,2020,-0.272766327438816,32.1498074208935,5.40516207933392,30.3991387830411,5.613,0.5713359010547533,8.81990841262033
KEN,2021,7.59048947333467,31.1231240199267,6.10793603659176,35.0020477795269,5.693,0.585025013067644,9.023547399394097
KEN,2022,4.85998104287999,31.2584163915549,7.65986268272224,40.2753238373561,5.565,0.5832211147792681,8.810625503746628
KEN,2023,5.71999241214208,31.7980848696513,7.67139634029402,41.1110904167396,5.409,0.5760255350713159,8.524722119200748
KEN,2024,4.72473994710138,,4.48978854243448,40.1860139968756,5.487,,
LBR,2000,28.6159342546183,1.9918355267179,,,2.018,0.9734421929770947,3.9824063454277767
LBR,2001,2.92027476569781,2.02950329253814,,,2.104,0.9729399560994915,4.15106566763333
LBR,2002,3.76301761700071,2.05491749658983,14.1596470116325,,2.222,0.972601100045469,4.383119644301032
LBR,2003,-30.145132727942,2.55816937305228,10.3302881236823,,2.42,0.9658910750259696,4.757456401562846
LBR,2004,2.61984689477413,3.35211576211892,7.82908704883235,,2.424,0.9553051231717478,4.739659618568316
LBR,2005,5.28121245309295,3.80967005163199,10.8343588481414,,2.413,0.9492043993115735,4.703430215538827
LBR,2006,8.04390997190059,4.74413233794056,7.34144608278558,,2.28,0.9367449021607925,4.415778376926607
LBR,2007,9.53527536282282,5.25937488093712,11.3918966807102,,2.232,0.929875001587505,4.3074810035433115
LBR,2008,7.14569112811476,6.12664985588776,17.489448642993,,2.221,0.9183113352548299,4.260569475600977
LBR,2009,5.30054050291531,7.9469631760414,7.42764305914919,,2.241,0.8940404909861146,4.244544740299883
LBR,2010,6.09982524004147,9.36698515953382,7.28992796890218,,2.266,0.875106864539549,4.248992155046618
LBR,2011,8.20076822497064,10.3742636363462,8.488167518494,,2.211,0.8616764848487173,4.116166708000514
LBR,2012,7.99381444555367,10.0467756206278,6.83178703418548,,2.146,0.8660429917249627,4.00452826024177
LBR,2013,8.68728781639683,11.8207741493068,7.577306817414,,2.08,0.8423896780092427,3.832170530259225
LBR,2014,0.701393100287518,11.4404481833926,9.86111285574904,,2.079,0.8474606908880986,3.840870776356357
LBR,2015,-0.0185649695590939,12.7449494275786,7.74869687621322,,2.557,0.8300673409656186,4.679482190849086
LBR,2016,-1.5549586174878,13.0206645953549,8.83424868336488,,3.081,0.8263911387286014,5.62711109842282
LBR,2017,2.45515592012239,16.7523537949631,12.4196323907138,,3.067,0.7766352827338253,5.448940412144643
LBR,2018,1.15757512207355,16.9764079051885,23.5635148953742,,3.058,0.7736478945974867,5.423815261679114
LBR,2019,-2.46729763532686,14.3078715677321,26.9662760197878,,3.071,0.8092283790969054,5.556140352206597
LBR,2020,-2.98249127649473,13.418605423168,16.9557241496255,,4.102,0.8210852610244267,7.470091740722198
LBR,2021,4.98671283481617,12.8996951357409,7.81559385858648,,3.844,0.828004064856788,7.026847625309492
LBR,2022,4.80810517290655,14.787430409394,7.59298486560313,,2.956,0.80283426120808,5.329178076131084
LBR,2023,4.68375688761311,,10.0944535665552,,2.905,,
LBR,2024,4.02185464964835,,8.21497439118964,,2.914,,
NGA,2000,5.01593475931152,8.24898869751761,6.93329215565161,,3.953,0.8900134840330985,7.471223302382839
NGA,2001,5.91768464920371,9.88080739655231,18.8736462093863,,3.9,0.8682559013793025,7.28619801537928
NGA,2002,15.3291557409559,8.084342998,12.8765792031099,,3.669,0.8922087600266666,6.9425139405378395
NGA,2003,7.34719496799492,8.90948472570348,14.0317836131437,,3.637,0.8812068703239536,6.841949387368219
NGA,2004,9.2505582291798,8.46166405532793,14.9980338183251,,3.59,0.8871778125956276,6.774968347218302
NGA,2005,6.43851652538348,8.43509526303227,17.8634933661605,,3.727,0.8875320631595698,7.034831999395716
NGA,2006,6.05942803202906,8.12036045279147,8.22522152017047,,3.749,0.8917285272961137,7.092090248833131
